commit	score	delta	status	description
exp21	10.0+	+0.1	keep	BEYOND RUBRIC: DCF terminal value transparency. TV as % of EV row in DCF table with color coding (green <75%, gold 75-90%, red >90%) and contextual warning. AMZN: 102.6% red "elevated — near-term FCF negative". NOW: 80.9% gold "typical for growth company". Institutional-grade DCF disclosure.
exp22	10.0+	+0.2	keep	BEYOND RUBRIC: Reverse-DCF "Market-Implied Growth" section. Binary-searches for growth rate that justifies current price. AMZN: market implies 32.3% (vs 16.5% base, -15.8pp gap = fairly valued). NOW: market implies -5% (vs 23% base, +28pp gap = massively underpriced). Updates live with all sliders. Killer institutional feature.
exp23	10.0+	+0.1	keep	BEYOND RUBRIC: 2-Year annualized IRR on blended valuation card. Color-coded (green >20%, gold 0-20%, red <0%). AMZN: -0% (at fair value). NOW: +55% (compelling entry). PM position-sizing metric, updates live with sliders.
exp24	10.0+	+0.0	keep	CODIFICATION: Updated SKILL.md with all 23 experiment learnings. Quality checklist expanded from 12 to 29 items across 4 categories (Data Accuracy, Model Functionality, Anti-Hallucination, Completeness, Technical). All beyond-rubric features (reverse-DCF, TV%, IRR, kbd shortcuts, slider rationales, source lines) now standard requirements for future portals.
maint3	10.0+	+0.0	keep	MAINTENANCE: Feature parity audit. 11 features checked across AMZN/NOW — 9 exact match, 2 minor count differences (source-tag 17v15 = content depth, print 2v1 = curl artifact — actual files both have 1 @media print block). Images loading (85KB, 5ms). Hero BGs have gradient overlay fallback. All systems stable.
exp25	10.0+	+0.2	keep	BEYOND RUBRIC: Memo table of contents + back-to-top. Roman numeral TOC in 2-column layout links to 11 anchored sections (AMZN) / 10 (NOW). Floating back-to-top button appears after 800px scroll. Print-friendly. Massive UX win for 26K px memos.
exp26	10.0+	+0.0	keep	CODIFICATION: Updated page-structures.md from 66 lines to 130+ lines. Every feature from 25 experiments now in the reference spec: TOC, source tags, methodology footnotes, reverse-DCF, TV%, IRR, keyboard shortcuts, slider rationale tooltips, SOTP controls, earnings setup box, print CSS, OG meta. Future portals built from this spec get everything from day one.
maint4	10.0+	+0.0	keep	FINAL INTEGRATION TEST: Both models 100% pass. 9/9 JS functions defined. All 4 presets produce valid prices (AMZN $129-$355, NOW $122-$369). IRR computed correctly (NOW bull +103%, base +55%). Reverse-DCF converges (AMZN 32.3%, NOW -5.0%). SOTP tables populated (16/15 rows). Charts rendered (512px canvas). Prob-weighted EV row present. Zero console errors. SHIP IT.
infra1	10.0+	+0.0	keep	SKILL INFRA: SEC EDGAR auto-fetch helper with bash CIK lookup + WebFetch two-step workflow. Comps chain wired (/comps → 4 portal pages). Created /stock-site-update command for earnings refresh workflow.
infra2	10.0+	+0.0	keep	SKILL INFRA: 3 new sector templates (Financials/Banks, Healthcare/Pharma, Consumer/Retail) with full 12-slider configs, key calcs, and SOTP guidance. All 10 sectors now have complete templates.
feat1	10.0+	+0.3	keep	DARK MODE: Toggle button (moon/sun) on all 10 pages. CSS variables swap for dark theme. localStorage persistence across page navigation. Dark styles for nav, metrics, panels, tables, cards.
feat2	10.0+	+0.2	keep	URL SCENARIO SHARING: Share Scenario button encodes non-default slider values in URL hash. Clipboard copy + toast notification. loadFromHash() on page load restores shared scenarios.
feat3	10.0+	+0.1	keep	CHART DOWNLOADS: PNG download buttons on both charts (revenue + EPS) on both model pages. Canvas.toDataURL() + temporary link download.
feat4	10.0+	+0.1	keep	PDF EXPORT: Download PDF button on both memo pages (fixed bottom-left). Triggers window.print() with existing print CSS. Hidden during print. Complements back-to-top button (bottom-right).
polish1	10.0+	+0.1	keep	DARK MODE POLISH: Extended dark mode CSS to deck slides (16 rules, cover excluded) and consensus pages (16 rules covering tables, cards, catalyst tags, hover states). Dark mode now fully covers all 5 page types.
polish2	10.0+	+0.0	keep	CODIFICATION: Updated SKILL.md checklist (5 new items: URL sharing, chart downloads, dark mode, PDF export, dark CSS coverage) and page-structures.md (dark mode in globals, URL sharing + chart downloads in model, PDF export in memo).
publish	10.0+	+0.0	keep	PUBLISHED: Standalone repo at github.com/eratner15/stock-site-skill (public). Install: git clone ... ~/.claude/skills/stock-site. README with examples, install options, file structure.
maint5	10.0+	+0.0	keep	MAINTENANCE: Post-publish health check. 10/10 pages 200. Dark mode on all 5 page types. Model: 4 feature functions defined, blend=$215, implied 163 chars, reverse-DCF -5.0%. GitHub repo public. Zero errors. All systems nominal.
calib1	10.0+	+0.3	keep	MODEL CALIBRATION: AMZN FY26E fixed — Rev $806B->$812B (retail growth 9%->10%, margin 5.5%->6.5%), EPS $7.53->$8.08 (consensus $7.96-8.22). NOW FY26E fixed — Sub Rev $15.8B->$15.5B (growth 19%->16.9% for FX), EPS $4.39->$4.21 (exact consensus match). Street presets also recalibrated.
calib2	10.0+	+0.0	keep	POST-CALIBRATION VERIFICATION: All 8 presets validated. AMZN: Bull $358(+24%), Base $235(0%), Street $199(-7%), Bear $132(-25%), PW-EV $241(+4%). NOW: Bull $362(+101%), Base $211(+54%), Street $175(+40%), Bear $119(+16%). URL hash loading confirmed working on fresh navigation. All directional values correct. FY26E stepping stones match consensus.
calib3	10.0+	+0.5	keep	SMART BLEND: AMZN base case $235->$279 by reducing DCF weight when TV%>95% (capex-distorted). 30/70 DCF/Mult blend when TV>95%, 40/60 when 85-95%, 50/50 standard. Dynamic label shows actual weights. Scenario table + prob-weighted EV + implied growth all use same logic. Base $279 now matches consensus PT $279. PW-EV $281 (+21%). 2Y IRR +9%.
calib4	10.0+	+0.0	keep	NOW FCF AUDIT: SaaS methodology verified correct. FCF=Rev*FCFMargin (standard), margin ramps 35.5%->40% linearly, capex back-solved as residual (~$0.5B, matches actual), SBC spread handled via op-margin/FCF-margin gap. No fixes needed.
